"","copper_beh","rev","oparc","pir","line","pauses","om","loop","clarc"
"copper_beh",1.24464750380543e-14,2.98548483096929e-12,1.57669188317886e-49,2.02152858512845e-11,2.09882143297182e-34,0,4.97798499015294e-11,0.999999999927007,2.03519783059432e-48
"rev",0.139707607689414,0.48479998457734,1.40552765918274e-09,3.57426802895804e-08,4.1656963229502e-05,0,0.375443693939961,7.01965895852393e-06,2.2889344041235e-11
"oparc",1.81351860447274e-08,0.01247846141179,7.20463815621014e-42,7.17754130905932e-08,0.696748261355632,0,4.93215948117121e-14,7.5735487337564e-36,0.29077318732193
"pir",0.288179484419113,0.192374436681267,1.11126744519267e-11,0.518589503735258,2.48027939126117e-05,0,0.000831760168837958,7.92158563425826e-09,4.26891380082248e-09
"line",1.88873062909912e-05,7.28594053673659e-10,1.67171828737403e-43,1.00661353067473e-10,2.65791475185988e-28,0,0.106496779034096,0.893484332830358,6.64441088875899e-47
"pauses",0.161607846170772,0.837351867071982,1.35289187091389e-08,1.73750600317041e-10,0.00104000998020605,0,2.95663656374683e-14,2.52700015665002e-07,1.03743247600388e-08
"om",0.028288186397513,0.00428795663931298,1.08104498205825e-07,0.967421116722723,2.62210251416419e-06,0,8.71920327385916e-15,2.30279992485465e-11,1.00104018925049e-08
"loop",0.999999999735598,2.64401344734861e-10,5.65335066912573e-59,1.44205018315144e-16,1.68005456678255e-51,0,4.22598793904016e-29,2.85459904016906e-57,1.72060871029997e-68
"clarc",4.88194163398083e-08,0.00749374310900752,0.992499971268881,6.2368026950894e-06,8.85106355776849e-27,0,6.56957971250704e-33,2.92009316480447e-44,8.78597121327355e-41
